code,term,hierarchy
A,Alimentary tract and metabolism,
B,Blood and blood forming organs,
C,Cardiovascular system,
D,Dermatologicals,
G,Genito urinary system and sex hormones,
H,"Systemic hormonal preparations, excl. sex hormones and insulins",
J,Antiinfectives for systemic use,
L,Antineoplastic and immunomodulating agents,
M,Musculo-skeletal system,
N,Nervous system,
P,"Antiparasitic products, insecticides and repellents",
R,Respiratory system,
S,Sensory organs,
V,Various,
A01,Stomatological preparations,A
A02,Drugs for acid related disorders,A
A03,Drugs for functional gastrointestinal disorders,A
A04,Antiemetics and antinauseants,A
A05,Bile and liver therapy,A
A06,Drugs for constipation,A
A07,"Antidiarrheals, intestinal antiinflammatory/antiinfective agents",A
A08,"Antiobesity preparations, excl. diet products",A
A09,"Digestives, incl. enzymes",A
A10,Drugs used in diabetes,A
A11,Vitamins,A
A12,Mineral supplements,A
A14,Anabolic agents for systemic use,A
A16,Other alimentary tract and metabolism products,A
A02BC01,Omeprazole,A|A02|A02B|A02BC
A02BC02,Pantoprazole,A|A02|A02B|A02BC
A02BC03,Lansoprazole,A|A02|A02B|A02BC
A02BC05,Esomeprazole,A|A02|A02B|A02BC
A02BA02,Ranitidine,A|A02|A02B|A02BA
A02BA03,Famotidine,A|A02|A02B|A02BA
A03FA01,Metoclopramide,A|A03|A03F|A03FA
A04AA01,Ondansetron,A|A04|A04A|A04AA
A04AA02,Granisetron,A|A04|A04A|A04AA
A04AA05,Palonosetron,A|A04|A04A|A04AA
A06AB02,Bisacodyl,A|A06|A06A|A06AB
A06AD11,Lactulose,A|A06|A06A|A06AD
A07EC01,Sulfasalazine,A|A07|A07E|A07EC
A07EC02,Mesalazine,A|A07|A07E|A07EC
A10BA02,Metformin,A|A10|A10B|A10BA
A10BB01,Glibenclamide,A|A10|A10B|A10BB
A10BB07,Glipizide,A|A10|A10B|A10BB
A10BB09,Gliclazide,A|A10|A10B|A10BB
A10BB12,Glimepiride,A|A10|A10B|A10BB
A10BD07,Metformin and sitagliptin,A|A10|A10B|A10BD
A10BG01,Troglitazone,A|A10|A10B|A10BG
A10BG02,Rosiglitazone,A|A10|A10B|A10BG
A10BG03,Pioglitazone,A|A10|A10B|A10BG
A10BH01,Sitagliptin,A|A10|A10B|A10BH
A10BH02,Vildagliptin,A|A10|A10B|A10BH
A10BJ01,Exenatide,A|A10|A10B|A10BJ
A10BJ02,Liraglutide,A|A10|A10B|A10BJ
A10BJ05,Dulaglutide,A|A10|A10B|A10BJ
A10BJ06,Semaglutide,A|A10|A10B|A10BJ
A10BK01,Dapagliflozin,A|A10|A10B|A10BK
A10BK02,Canagliflozin,A|A10|A10B|A10BK
A10BK03,Empagliflozin,A|A10|A10B|A10BK
A10AB01,Insulin (human) – short acting,A|A10|A10A|A10AB
A10AC01,Insulin (human) – intermediate acting,A|A10|A10A|A10AC
A10AE04,Insulin glargine,A|A10|A10A|A10AE
A10AE05,Insulin detemir,A|A10|A10A|A10AE
A11CC05,Colecalciferol,A|A11|A11C|A11CC
A12AA04,Calcium carbonate,A|A12|A12A|A12AA
B01,Antithrombotic agents,B
B02,Antihemorrhagics,B
B03,Antianemic preparations,B
B05,Blood substitutes and perfusion solutions,B
B06,Other haematological agents,B
B01AA03,Warfarin,B|B01|B01A|B01AA
B01AB01,Heparin,B|B01|B01A|B01AB
B01AB04,Dalteparin,B|B01|B01A|B01AB
B01AB05,Enoxaparin,B|B01|B01A|B01AB
B01AC04,Clopidogrel,B|B01|B01A|B01AC
B01AC06,Acetylsalicylic acid,B|B01|B01A|B01AC
B01AC22,Prasugrel,B|B01|B01A|B01AC
B01AC24,Ticagrelor,B|B01|B01A|B01AC
B01AE07,Dabigatran etexilate,B|B01|B01A|B01AE
B01AF01,Rivaroxaban,B|B01|B01A|B01AF
B01AF02,Apixaban,B|B01|B01A|B01AF
B01AF03,Edoxaban,B|B01|B01A|B01AF
B02BX04,Romiplostim,B|B02|B02B|B02BX
B03AA02,Ferrous fumarate,B|B03|B03A|B03AA
B03AA07,Ferrous sulfate,B|B03|B03A|B03AA
B03BA01,Cyanocobalamin,B|B03|B03B|B03BA
B03BB01,Folic acid,B|B03|B03B|B03BB
B03XA01,Erythropoietin,B|B03|B03X|B03XA
B03XA02,Darbepoetin alfa,B|B03|B03X|B03XA
C01,Cardiac therapy,C
C02,Antihypertensives,C
C03,Diuretics,C
C04,Peripheral vasodilators,C
C05,Vasoprotectives,C
C07,Beta blocking agents,C
C08,Calcium channel blockers,C
C09,Agents acting on the renin-angiotensin system,C
C10,Lipid modifying agents,C
C01AA05,Digoxin,C|C01|C01A|C01AA
C01BD01,Amiodarone,C|C01|C01B|C01BD
C01CA04,Dopamine,C|C01|C01C|C01CA
C01CA07,Dobutamine,C|C01|C01C|C01CA
C01CA24,Epinephrine,C|C01|C01C|C01CA
C01EB17,Ivabradine,C|C01|C01E|C01EB
C03AA03,Hydrochlorothiazide,C|C03|C03A|C03AA
C03BA04,Chlortalidone,C|C03|C03B|C03BA
C03CA01,Furosemide,C|C03|C03C|C03CA
C03CA02,Bumetanide,C|C03|C03C|C03CA
C03DA01,Spironolactone,C|C03|C03D|C03DA
C03DA04,Eplerenone,C|C03|C03D|C03DA
C07AA05,Propranolol,C|C07|C07A|C07AA
C07AB02,Metoprolol,C|C07|C07A|C07AB
C07AB03,Atenolol,C|C07|C07A|C07AB
C07AB07,Bisoprolol,C|C07|C07A|C07AB
C07AB12,Nebivolol,C|C07|C07A|C07AB
C07AG01,Labetalol,C|C07|C07A|C07AG
C07AG02,Carvedilol,C|C07|C07A|C07AG
C08CA01,Amlodipine,C|C08|C08C|C08CA
C08CA05,Nifedipine,C|C08|C08C|C08CA
