code,term,hierarchy
A00,Cholera,I Infectious|Intestinal infections
A01,Typhoid and paratyphoid fevers,I Infectious|Intestinal infections
A02,Other salmonella infections,I Infectious|Intestinal infections
A03,Shigellosis,I Infectious|Intestinal infections
A04,Other bacterial intestinal infections,I Infectious|Intestinal infections
A05,Other bacterial foodborne intoxications,I Infectious|Intestinal infections
A06,Amoebiasis,I Infectious|Intestinal infections
A07,Other protozoal intestinal diseases,I Infectious|Intestinal infections
A08,Viral and other specified intestinal infections,I Infectious|Intestinal infections
A09,Diarrhoea and gastroenteritis of presumed infectious origin,I Infectious|Intestinal infections
A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",I Infectious|Tuberculosis
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",I Infectious|Tuberculosis
A17,Tuberculosis of nervous system,I Infectious|Tuberculosis
A18,Tuberculosis of other organs,I Infectious|Tuberculosis
A19,Miliary tuberculosis,I Infectious|Tuberculosis
A20,Plague,I Infectious|Other bacterial
A21,Tularaemia,I Infectious|Other bacterial
A22,Anthrax,I Infectious|Other bacterial
A23,Brucellosis,I Infectious|Other bacterial
A24,Glanders and melioidosis,I Infectious|Other bacterial
A25,Rat-bite fevers,I Infectious|Other bacterial
A26,Erysipeloid,I Infectious|Other bacterial
A27,Leptospirosis,I Infectious|Other bacterial
A28,Other zoonotic bacterial diseases NEC,I Infectious|Other bacterial
A30,Leprosy [Hansen disease],I Infectious|Other bacterial
A31,Infection due to other mycobacteria,I Infectious|Other bacterial
A32,Listeriosis,I Infectious|Other bacterial
A33,Tetanus neonatorum,I Infectious|Other bacterial
A34,Obstetrical tetanus,I Infectious|Other bacterial
A35,Other tetanus,I Infectious|Other bacterial
A36,Diphtheria,I Infectious|Other bacterial
A37,Whooping cough,I Infectious|Other bacterial
A38,Scarlet fever,I Infectious|Other bacterial
A39,Meningococcal infection,I Infectious|Other bacterial
A40,Streptococcal sepsis,I Infectious|Other bacterial
A41,Other sepsis,I Infectious|Other bacterial
A42,Actinomycosis,I Infectious|Other bacterial
A43,Nocardiosis,I Infectious|Other bacterial
A44,Bartonellosis,I Infectious|Other bacterial
A46,Erysipelas,I Infectious|Other bacterial
A48,Other bacterial diseases NEC,I Infectious|Other bacterial
A49,Bacterial infection of unspecified site,I Infectious|Other bacterial
A50,Congenital syphilis,I Infectious|Sexually transmitted
A51,Early syphilis,I Infectious|Sexually transmitted
A52,Late syphilis,I Infectious|Sexually transmitted
A53,Other and unspecified syphilis,I Infectious|Sexually transmitted
A54,Gonococcal infection,I Infectious|Sexually transmitted
A55,Chlamydial lymphogranuloma,I Infectious|Sexually transmitted
A56,Other sexually transmitted chlamydial diseases,I Infectious|Sexually transmitted
A57,Chancroid,I Infectious|Sexually transmitted
A58,Granuloma inguinale,I Infectious|Sexually transmitted
A59,Trichomoniasis,I Infectious|Sexually transmitted
A60,Anogenital herpesviral infection,I Infectious|Sexually transmitted
A63,Other predominantly sexually transmitted diseases NEC,I Infectious|Sexually transmitted
A64,Unspecified sexually transmitted disease,I Infectious|Sexually transmitted
A65,Nonvenereal syphilis,I Infectious|Other spirochaetal
A66,Yaws,I Infectious|Other spirochaetal
A67,Pinta [carate],I Infectious|Other spirochaetal
A68,Relapsing fevers,I Infectious|Other spirochaetal
A69,Other spirochaetal infections,I Infectious|Other spirochaetal
A70,Chlamydia psittaci infection,I Infectious|Other spirochaetal
A71,Trachoma,I Infectious|Other spirochaetal
A74,Other diseases caused by chlamydiae,I Infectious|Other spirochaetal
A80,Acute poliomyelitis,I Infectious|Viral CNS
A81,Atypical virus infections of CNS,I Infectious|Viral CNS
A82,Rabies,I Infectious|Viral CNS
A83,Mosquito-borne viral encephalitis,I Infectious|Viral CNS
A84,Tick-borne viral encephalitis,I Infectious|Viral CNS
A85,Other viral encephalitis NEC,I Infectious|Viral CNS
A86,Unspecified viral encephalitis,I Infectious|Viral CNS
A87,Viral meningitis,I Infectious|Viral CNS
A88,Other viral infections of CNS NEC,I Infectious|Viral CNS
A89,Unspecified viral infection of CNS,I Infectious|Viral CNS
A90,Dengue fever [classical dengue],I Infectious|Arthropod-borne / haemorrhagic
A91,Dengue haemorrhagic fever,I Infectious|Arthropod-borne / haemorrhagic
A92,Other mosquito-borne viral fevers,I Infectious|Arthropod-borne / haemorrhagic
A93,Other arthropod-borne viral fevers NEC,I Infectious|Arthropod-borne / haemorrhagic
A94,Unspecified arthropod-borne viral fever,I Infectious|Arthropod-borne / haemorrhagic
A95,Yellow fever,I Infectious|Arthropod-borne / haemorrhagic
A96,Arenaviral haemorrhagic fever,I Infectious|Arthropod-borne / haemorrhagic
A97,Dengue,I Infectious|Arthropod-borne / haemorrhagic
A98,Other viral haemorrhagic fevers NEC,I Infectious|Arthropod-borne / haemorrhagic
A99,Unspecified viral haemorrhagic fever,I Infectious|Arthropod-borne / haemorrhagic
B00,Herpesviral [herpes simplex] infections,I Infectious|Viral skin and mucous membranes
B01,Varicella [chickenpox],I Infectious|Viral skin and mucous membranes
B02,Zoster [herpes zoster],I Infectious|Viral skin and mucous membranes
B03,Smallpox,I Infectious|Viral skin and mucous membranes
B04,Monkeypox,I Infectious|Viral skin and mucous membranes
B05,Measles,I Infectious|Viral skin and mucous membranes
B06,Rubella [German measles],I Infectious|Viral skin and mucous membranes
B07,Viral warts,I Infectious|Viral skin and mucous membranes
B08,Other viral infections with skin / mucous lesions NEC,I Infectious|Viral skin and mucous membranes
B09,Unspecified viral infection with skin / mucous lesions,I Infectious|Viral skin and mucous membranes
B15,Acute hepatitis A,I Infectious|Viral hepatitis
B16,Acute hepatitis B,I Infectious|Viral hepatitis
B17,Other acute viral hepatitis,I Infectious|Viral hepatitis
B18,Chronic viral hepatitis,I Infectious|Viral hepatitis
B19,Unspecified viral hepatitis,I Infectious|Viral hepatitis
B20,HIV disease resulting in infectious and parasitic diseases,I Infectious|HIV
B21,HIV disease resulting in malignant neoplasms,I Infectious|HIV
B22,HIV disease resulting in other specified diseases,I Infectious|HIV
B23,HIV disease resulting in other conditions,I Infectious|HIV
B24,Unspecified HIV disease,I Infectious|HIV
B25,Cytomegaloviral disease,I Infectious|Other viral and parasitic
B26,Mumps,I Infectious|Other viral and parasitic
B27,Infectious mononucleosis,I Infectious|Other viral and parasitic
B30,Viral conjunctivitis,I Infectious|Other viral and parasitic
B33,Other viral diseases NEC,I Infectious|Other viral and parasitic
B34,Viral infection of unspecified site,I Infectious|Other viral and parasitic
B35,Dermatophytosis,I Infectious|Other viral and parasitic
B36,Other superficial mycoses,I Infectious|Other viral and parasitic
B37,Candidiasis,I Infectious|Other viral and parasitic
B38,Coccidioidomycosis,I Infectious|Other viral and parasitic
B39,Histoplasmosis,I Infectious|Other viral and parasitic
B40,Blastomycosis,I Infectious|Other viral and parasitic
B44,Aspergillosis,I Infectious|Other viral and parasitic
B45,Cryptococcosis,I Infectious|Other viral and parasitic
B46,Zygomycosis,I Infectious|Other viral and parasitic
B48,Other mycoses NEC,I Infectious|Other viral and parasitic
B49,Unspecified mycosis,I Infectious|Other viral and parasitic
B50,Plasmodium falciparum malaria,I Infectious|Other viral and parasitic
B51,Plasmodium vivax malaria,I Infectious|Other viral and parasitic
B52,Plasmodium malariae malaria,I Infectious|Other viral and parasitic
B53,Other parasitologically confirmed malaria,I Infectious|Other viral and parasitic
B54,Unspecified malaria,I Infectious|Other viral and parasitic
B55,Leishmaniasis,I Infectious|Other viral and parasitic
B56,African trypanosomiasis,I Infectious|Other viral and parasitic
B57,Chagas disease,I Infectious|Other viral and parasitic
B58,Toxoplasmosis,I Infectious|Other viral and parasitic
B59,Pneumocystosis,I Infectious|Other viral and parasitic
B60,Other protozoal diseases NEC,I Infectious|Other viral and parasitic
B65,Schistosomiasis [bilharziasis],I Infectious|Other viral and parasitic
B66,Other fluke infections,I Infectious|Other viral and parasitic
B67,Echinococcosis,I Infectious|Other viral and parasitic
B68,Taeniasis,I Infectious|Other viral and parasitic
B69,Cysticercosis,I Infectious|Other viral and parasitic
B70,Diphyllobothriasis and sparganosis,I Infectious|Other viral and parasitic
B71,Other cestode infections,I Infectious|Other viral and parasitic
B72,Dracunculiasis,I Infectious|Other viral and parasitic
B73,Onchocerciasis,I Infectious|Other viral and parasitic
B74,Filariasis,I Infectious|Other viral and parasitic
B75,Trichinellosis,I Infectious|Other viral and parasitic
B76,Hookworm diseases,I Infectious|Other viral and parasitic
B77,Ascariasis,I Infectious|Other viral and parasitic
B78,Strongyloidiasis,I Infectious|Other viral and parasitic
B79,Trichuriasis,I Infectious|Other viral and parasitic
B80,Enterobiasis,I Infectious|Other viral and parasitic
B81,Other intestinal helminthiases NEC,I Infectious|Other viral and parasitic
B82,Unspecified intestinal parasitism,I Infectious|Other viral and parasitic
B83,Other helminthiases,I Infectious|Other viral and parasitic
B85,Pediculosis and phthiriasis,I Infectious|Other viral and parasitic
B86,Scabies,I Infectious|Other viral and parasitic
B87,Myiasis,I Infectious|Other viral and parasitic
B88,Other infestations,I Infectious|Other viral and parasitic
B89,Unspecified parasitic disease,I Infectious|Other viral and parasitic
B90,Sequelae of tuberculosis,I Infectious|Other viral and parasitic
B91,Sequelae of poliomyelitis,I Infectious|Other viral and parasitic
B92,Sequelae of leprosy,I Infectious|Other viral and parasitic
B94,Sequelae of other / unspecified infectious / parasitic diseases,I Infectious|Other viral and parasitic
B95,Streptococcus and staphylococcus as cause of diseases classified elsewhere,I Infectious|Other viral and parasitic
B96,Other bacterial agents as cause of diseases classified elsewhere,I Infectious|Other viral and parasitic
B97,Viral agents as the cause of diseases classified elsewhere,I Infectious|Other viral and parasitic
B99,Other and unspecified infectious diseases,I Infectious|Other viral and parasitic
C00,Malignant neoplasm of lip,II Neoplasms|Malignant – lip / oral / pharynx
C01,Malignant neoplasm of base of tongue,II Neoplasms|Malignant – lip / oral / pharynx
C02,Malignant neoplasm of other / unspecified parts of tongue,II Neoplasms|Malignant – lip / oral / pharynx
C03,Malignant neoplasm of gum,II Neoplasms|Malignant – lip / oral / pharynx
C04,Malignant neoplasm of floor of mouth,II Neoplasms|Malignant – lip / oral / pharynx
C05,Malignant neoplasm of palate,II Neoplasms|Malignant – lip / oral / pharynx
C06,Malignant neoplasm of other / unspecified parts of mouth,II Neoplasms|Malignant – lip / oral / pharynx
C07,Malignant neoplasm of parotid gland,II Neoplasms|Malignant – lip / oral / pharynx
C08,Malignant neoplasm of other / unspecified major salivary glands,II Neoplasms|Malignant – lip / oral / pharynx
C09,Malignant neoplasm of tonsil,II Neoplasms|Malignant – lip / oral / pharynx
C10,Malignant neoplasm of oropharynx,II Neoplasms|Malignant – lip / oral / pharynx
C11,Malignant neoplasm of nasopharynx,II Neoplasms|Malignant – lip / oral / pharynx
C12,Malignant neoplasm of pyriform sinus,II Neoplasms|Malignant – lip / oral / pharynx
C13,Malignant neoplasm of hypopharynx,II Neoplasms|Malignant – lip / oral / pharynx
C14,"Malignant neoplasm of other / ill-defined sites in lip, oral cavity and pharynx",II Neoplasms|Malignant – lip / oral / pharynx
C15,Malignant neoplasm of oesophagus,II Neoplasms|Malignant – digestive organs
C16,Malignant neoplasm of stomach,II Neoplasms|Malignant – digestive organs
