code,term,hierarchy
718-7,Hemoglobin [Mass/volume] in Blood,Hematology|CBC
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Hematology|CBC
789-8,Erythrocytes [#/volume] in Blood by Automated count,Hematology|CBC
787-2,MCV [Entitic volume] by Automated count,Hematology|CBC
785-6,MCH [Entitic mass] by Automated count,Hematology|CBC
786-4,MCHC [Mass/volume] by Automated count,Hematology|CBC
21000-5,Erythrocyte distribution width [Entitic volume] by Automated count,Hematology|CBC
777-3,Platelets [#/volume] in Blood by Automated count,Hematology|CBC
6690-2,Leukocytes [#/volume] in Blood by Automated count,Hematology|CBC
770-8,Neutrophils/100 leukocytes in Blood by Automated count,Hematology|CBC
736-9,Lymphocytes/100 leukocytes in Blood by Automated count,Hematology|CBC
5905-5,Monocytes/100 leukocytes in Blood by Automated count,Hematology|CBC
713-8,Eosinophils/100 leukocytes in Blood by Automated count,Hematology|CBC
706-2,Basophils/100 leukocytes in Blood by Automated count,Hematology|CBC
38518-7,Neutrophils [#/volume] in Blood by Automated count,Hematology|CBC
5902-2,Prothrombin time (PT),Hematology|Coagulation
6301-6,INR in Platelet poor plasma by Coagulation assay,Hematology|Coagulation
14979-9,aPTT in Platelet poor plasma by Coagulation assay,Hematology|Coagulation
3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,Hematology|Coagulation
48065-7,D-dimer FEU [Mass/volume] in Platelet poor plasma,Hematology|Coagulation
2345-7,Glucose [Mass/volume] in Serum or Plasma,Chemistry|Metabolic
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,Chemistry|Metabolic
2160-0,Creatinine [Mass/volume] in Serum or Plasma,Chemistry|Renal
3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,Chemistry|Renal
33914-3,Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD),Chemistry|Renal
2823-3,Potassium [Moles/volume] in Serum or Plasma,Chemistry|Electrolytes
2951-2,Sodium [Moles/volume] in Serum or Plasma,Chemistry|Electrolytes
2075-0,Chloride [Moles/volume] in Serum or Plasma,Chemistry|Electrolytes
1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,Chemistry|Electrolytes
17861-6,Calcium [Mass/volume] in Serum or Plasma,Chemistry|Electrolytes
2777-1,Phosphate [Mass/volume] in Serum or Plasma,Chemistry|Electrolytes
19123-9,Magnesium [Moles/volume] in Serum or Plasma,Chemistry|Electrolytes
2885-2,Protein [Mass/volume] in Serum or Plasma,Chemistry|Liver
1751-7,Albumin [Mass/volume] in Serum or Plasma,Chemistry|Liver
10834-0,Globulin [Mass/volume] in Serum by Calculation,Chemistry|Liver
1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,Chemistry|Liver
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Chemistry|Liver
1742-6,Alanine aminotransferase (ALT) [Enzymatic activity/volume] in Serum or Plasma,Chemistry|Liver
1920-8,Aspartate aminotransferase (AST) [Enzymatic activity/volume] in Serum or Plasma,Chemistry|Liver
6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,Chemistry|Liver
2324-2,Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma,Chemistry|Liver
2532-0,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,Chemistry|Liver
2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,Chemistry|Cardiac
13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma,Chemistry|Cardiac
10839-9,Troponin I.cardiac [Mass/volume] in Serum or Plasma,Chemistry|Cardiac
33762-6,NT-proBNP [Mass/volume] in Serum or Plasma,Chemistry|Cardiac
2093-3,Cholesterol [Mass/volume] in Serum or Plasma,Chemistry|Lipids
2571-8,Triglyceride [Mass/volume] in Serum or Plasma,Chemistry|Lipids
2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,Chemistry|Lipids
13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,Chemistry|Lipids
3043-7,Lactate [Mass/volume] in Serum or Plasma,Chemistry|Other
3016-3,Thyrotropin [Units/volume] in Serum or Plasma,Endocrine|Thyroid
3024-7,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Endocrine|Thyroid
3051-0,Triiodothyronine (T3) free [Mass/volume] in Serum or Plasma,Endocrine|Thyroid
2986-8,Testosterone [Mass/volume] in Serum or Plasma,Endocrine|Sex hormones
83088-6,Estradiol [Mass/volume] in Serum or Plasma,Endocrine|Sex hormones
2243-4,Estriol [Mass/volume] in Serum or Plasma,Endocrine|Sex hormones
19080-1,Estradiol panel - Serum or Plasma,Endocrine|Sex hormones
2839-9,Progesterone [Mass/volume] in Serum or Plasma,Endocrine|Sex hormones
2842-3,Prolactin [Mass/volume] in Serum or Plasma,Endocrine|Sex hormones
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,Chemistry|Inflammation
4537-7,Erythrocyte sedimentation rate (ESR) by Westergren,Hematology|Inflammation
48421-2,Procalcitonin [Mass/volume] in Serum or Plasma,Chemistry|Inflammation
5811-5,Specific gravity of Urine by Test strip,Urinalysis
5803-2,pH of Urine by Test strip,Urinalysis
5804-0,Protein [Mass/volume] in Urine by Test strip,Urinalysis
5792-7,Glucose [Mass/volume] in Urine by Test strip,Urinalysis
